John Lee Hooker,Free Beer And Chicken,"One Bourbon, One Scotch And One Beer",1974,Blues,blues.00000.wav 
John Lee Hooker,Portrait,I'm In The Mood For Love,2001,Blues,blues.00001.wav 
John Lee Hooker,Backbiters And Syndicaters / Think Twice Before You Go,Think Twice Before You Go,1968,Blues,blues.00002.wav 
John Lee Hooker,Boom Boom,I'm Bad Like Jesse James,1992,Blues,blues.00003.wav 
John Lee Hooker,Walking The Boogie / Sugar Mama,Sugar Mama,1952,Blues,blues.00005.wav 
John Lee Hooker,Plays & Sings The Blues,Dreamin' Blues,1961,Blues,blues.00006.wav 
John Lee Hooker,House Of The Blues,Ground Hog Blues,1960,Blues,blues.00007.wav 
John Lee Hooker,Shake It Baby / Let's Make It Baby,Shake It Baby,1968,Blues,blues.00008.wav 
John Lee Hooker,It's My Own Fault / Women And Money,It's My Own Fault,1956,Blues,blues.00009.wav 
John Lee Hooker,Plays & Sings The Blues,Lonely Boy Boogie,1961,Blues,blues.00010.wav 
Robert Johnson,Face To Face,It Serves Me Right To Suffer,2003,Blues,blues.00011.wav 
Robert Johnson,Delta Blues,Cross Road Blues,1971,Blues,blues.00012.wav 
Robert Johnson,Terraplane Blues / Kind Hearted Woman Blues,Terraplane Blues,1937,Blues,blues.00013.wav 
Robert Johnson,They're Red Hot / Come On In My Kitchen ,Come On In My Kitchen,1937,Blues,blues.00014.wav 
Robert Johnson,King Of The Delta Blues Singers,Walking blues,1961,Blues,blues.00015.wav 
Robert Johnson,The Complete Recordings,Last Fair Deal Gone Down,1990,Blues,blues.00016.wav 
Robert Johnson,King Of The Delta Blues Singers,32-20 Blues,1961,Blues,blues.00017.wav 
Robert Johnson,Terraplane Blues / Kind Hearted Woman Blues,Kind Hearted Woman Blues,1937,Blues,blues.00018.wav 
Robert Johnson,King Of The Delta Blues Singers,If I Had Possession Over Judgement Day,1961,Blues,blues.00019.wav 
Robert Johnson,King Of The Delta Blues Singers Vol. II,Preachin' Blues,1970,Blues,blues.00020.wav 
Robert Johnson,King Of The Delta Blues Singers,When You Got A Good Friend,1961,Blues,blues.00021.wav 
Robert Johnson,The Complete Collection,Ramblin' On My Mind,1998,Blues,blues.00022.wav 
Robert Johnson,King Of The Delta Blues Singers,Stones In My Passway,1961,Blues,blues.00023.wav 
Robert Johnson,King Of The Delta Blues Singers,Traveling Riverside Blues,1961,Blues,blues.00024.wav 
Robert Johnson,Malted Milk / Milkcows Calf Blues ,Milkcow's Calf Blues,1937,Blues,blues.00025.wav 
Robert Johnson,King Of The Delta Blues Singers,Me And The Devil Blues,1961,Blues,blues.00026.wav 
Robert Johnson,Hell Hound On My Trail / From Four Until Late ,Hell Hound On My Trail,1937,Blues,blues.00027.wav 
Kelly Joe Phelps,King Of The Delta Blues Singers,Traveling Riverside Blues,1961,Blues,blues.00028.wav 
Kelly Joe Phelps,Shine Eyed Mister Zen,The House Carpenter,1999,Blues,blues.00029.wav 
Kelly Joe Phelps,Shine Eyed Mister Zen,Capman Bootman,1999,Blues,blues.00035.wav 
Kelly Joe Phelps,Shine Eyed Mister Zen,Train Carried My Girl From Town,1999,Blues,blues.00036.wav 
Kelly Joe Phelps,Shine Eyed Mister Zen,Piece By Piece,1999,Blues,blues.00037.wav 
Kelly Joe Phelps,Shine Eyed Mister Zen,Many A Time,1999,Blues,blues.00038.wav 
Stevie Ray Vaughan,Shine Eyed Mister Zen,Goodnight Irene,1999,Blues,blues.00039.wav 
Stevie Ray Vaughan,Love Struck Baby,Love Struck Baby,1983,Blues,blues.00040.wav 
Stevie Ray Vaughan,Pride And Joy,Pride and Joy,1983,Blues,blues.00041.wav 
Stevie Ray Vaughan,Texas Flood,Texas Flood,1983,Blues,blues.00042.wav 
Stevie Ray Vaughan,Texas Flood,Tell Me,1983,Blues,blues.00043.wav 
Stevie Ray Vaughan,Texas Flood,Testify,1983,Blues,blues.00044.wav 
Stevie Ray Vaughan,Texas Flood,Rude Mood,1983,Blues,blues.00045.wav 
